shortName,type,inter1,estimate,se,Waldpval
between,eval,,-0.249051921806324,NA,0.231861125057151
nbrDist2twice,eval,,-0.546749474464275,NA,0.890304903028735
gwespBB,eval,,-1.50804098095119,NA,0.717255680427238
gwespRR,eval,,-7.66649551384126,NA,0.970911165883651
outPop,eval,,-0.302063892634739,NA,0.0786274587384603
inActSqrt,eval,,-0.269881484776635,NA,0.398617606904678
outTrunc,eval,,-1.54328012624414,NA,0.896172105983722
inIsDegree,eval,,-3.49272250382385,NA,1.33983157901696e-10
isolateNet,eval,,5.32686618814747,NA,0.00209092127731858
outInAss,eval,,-0.122537815381712,NA,0.383305383702869
inOutAss,eval,,-0.14239439846359,NA,0.377977636466233
inInAss,eval,,-0.183978316773025,NA,0.405258646137212
inStructEq,eval,,0.0229116603883638,NA,0.547365039428325
altX,eval,sex,0.181850794065997,NA,0.330742687106815
egoX,eval,sex,-0.0686465172631985,NA,0.80000466602697
simX,eval,sex,0.144104019821635,NA,0.341644400285075
simXTransTrip,eval,sex,0.377681176301731,NA,0.908353587612173
sameXTransTrip,eval,sex,0.136781708547018,NA,0.914482173026708
egoXaltXRecip,eval,sex,0.866151014150441,NA,0.213526832442712
altDist2,eval,sex,0.242205307878173,NA,0.575338982103463
simDist2,eval,sex,1.14581140723615,NA,0.240881962194149
altX,eval,party,0.170139273453688,NA,0.0116805473029287
altSqX,eval,party,-1.27509488517435,NA,8.86648257480971e-06
egoX,eval,party,0.0246764637013446,NA,0.805726021095693
simX,eval,party,0.301232343450478,NA,0.0175036211218768
simRecipX,eval,party,0.668903606219464,NA,0.0163194757844028
simXTransTrip,eval,party,0.50218767507708,NA,0.798986501550962
sameX,eval,party,-0.144777248269138,NA,0.254002167032074
sameXRecip,eval,party,1.05551307706116,NA,0.000366225138712317
sameXTransTrip,eval,party,0.134388896311288,NA,0.903858810792375
egoXaltXRecip,eval,party,0.322429369623775,NA,0.0199550243588345
altDist2,eval,party,0.36277773354335,NA,0.00785838154740637
altSqX,eval,bills,-0.000255196583657644,NA,0.0163519746297897
simRecipX,eval,bills,-0.851368057398603,NA,0.243337510580943
sameXRecip,eval,bills,-0.0290093704397147,NA,0.951937946934822
sameXTransTrip,eval,bills,3.64046994477006,NA,0.00522591911339876
egoXaltXRecip,eval,bills,-0.000214419723892014,NA,0.349360946935478
altDist2,eval,bills,-0.0159203747119434,NA,0.0821143831455367
